street,city,pincode,name,username,passwd,profit,manager_name
Opera House,Gorakhpur,110075, Sood Provision Store, N_69, N_69,7219, Noah
Ballygunge Place,Shimoga,208005, Shukla General Store, J_70, J_70,7447, Jacob
Sudder Street,Tirupp?r,208004, Saini Kirana Store, O_71, O_71,9415, Owen
Chittaranjan Avenue,Gunt?r,112450, Mathur Provision Store, E_72, E_72,1501, Ethan
New Alipore,Raurkela,113560, Bhatt General Store, L_73, L_73,5576, Liam
Rash Behari Avenue,Mangalore,201002, Arora Kirana Store, W_74, W_74,4968, William
Howrah Bridge,N?nded,800016, Puri Provision Store, M_75, M_75,499, Mason
S.N Banerjee Road,Cuttack,110075, Tandon General Store, O_76, O_76,6100, Oliver
Bhowanipore,Ch?nda,208005, Wadhwa Kirana Store, A_77, A_77,6852, Alexander
J.L. Nehru Road,Dehra D?n,201002, Chopra Provision Store, B_78, B_78,9833, Benjamin
Lenin Sarani,Durg?pur,800016, Vohra General Store, E_79, E_79,3306, Ethan
Taltala,?sansol,201301, Anand Kirana Store, W_80, W_80,8308, William
B.B.D Bagh,Bh?vnagar,208005, Kataria Provision Store, N_81, N_81,6289, Noah
Free School Street,Amr?vati,201002, Singh General Store, M_82, M_82,6033, Mason
Bepin Behari Ganguly Street,Nellore,800016, Kaushik Kirana Store, O_83, O_83,7051, Oliver
A.P.C Road,Ajmer,110075, Mohan Provision Store, A_84, A_84,9736, Alexander
Raja Ram Mohan Roy Road,Tinnevelly,208005, Saini General Store, E_85, E_85,3806, Ethan
C.R Avenue,B?kaner,201002, Negi Kirana Store, W_86, W_86,2074, William
R.K Mission Road,Agartala,800016, Khurana Provision Store, N_87, N_87,1539, Noah
Shakespeare Sarani,Ujjain,201301, Jain General Store, M_88, M_88,4000, Mason
Camac Street,Jh?nsi,208005, Chopra Kirana Store, O_89, O_89,2444, Oliver
Chirag Dilli,Ulh?snagar,201002, Suri Provision Store, A_90, A_90,1126, Alexander
Hauz Khas Village,Davangere,800016, Gill General Store, B_91, B_91,5784, Benjamin
Ghaffar Market,Jammu,110075, Grewal Kirana Store, E_92, E_92,2491, Ethan
Defence Colony,Belgaum,208005, Bhatia Provision Store, W_93, W_93,9972, William
Safdarjung Enclave,Gulbarga,201002, Bhat General Store, N_94, N_94,2488, Noah
Connaught Place,J?mnagar,800016, Dhingra Kirana Store, M_95, M_95,9150, Mason
India Gate,Dh?lia,201301, Duggal Provision Store, O_96, O_96,9967, Oliver
Khan Market,Gaya,208005, Agarwal General Store, A_97, A_97,2290, Alexander
Lajpat Nagar,Jalgaon,201002, Saini Kirana Store, B_98, B_98,5242, Benjamin
Greater Kailash,Kurnool,800016, Rana Provision Store, E_99, E_99,1659, Ethan
Karol Bagh,Udaipur,110075, Mukherjee General Store, W_100, W_100,65, William
Paharganj,Bellary,208005,Bhatia Kirana Store,No_101,No_101,4396,Noah
