street,city,pincode,name,username,passwd,no_of_members
DLF Phase 9,Bangkok,474077, The Sikkim State Co-operative Milk Producers' Federation Limited (SSCMFL), Th_37, Th_37,111
Chanakyapuri,Itanagar,235285, The Arunachal Pradesh Co-operative Milk Producers' Federation Limited (APCMFL), Th_38, Th_38,105
Juhu,Bilaspur,403643, The HImachal Pradesh Milkfed, Th_39, Th_39,132
Banashankari,Delhi,203613, Delhi Milk Scheme (DMS), De_40, De_40,120
DLF Phase 10,Amravati,479510, AP Dairy Development Co-operative Federation Limited, AP_41, AP_41,118
Lodi Colony,raigarh,417153, The Chhattisgarh State Co-operative Dairy Development Federation Limited (CSCDDFL), Th_42, Th_42,120
Powai,Delhi,310808, The Delhi Co-operative Milk Producers' Union Limited (DCMPUL), Th_43, Th_43,106
Electronic City,Agartala,342642, The Tripura Co-operative Milk Producers' Union Limited (TCMPUL), Th_44, Th_44,117
DLF Phase 11,Dehradun,224729, The Uttarakhand Co-operative Milk Producers' Union Limited, Th_45, Th_45,142
Safdarjung Enclave,Thiruvanathapuram,422439, The Kerala Co-operative Milk Marketing Federation Limited (KCMMF), Th_46, Th_46,139
Santacruz,Patna,371653, The Bihar Co-operative Milk Producers' Federation Limited (BCMFL), Th_47, Th_47,117
RT Nagar,Mumbai,253588, The Maharashtra Co-operative Milk Producers' Federation Limited (MCMFL), Th_48, Th_48,113
DLF Phase 12,Bangalore,464818, The Karnataka Milk Federation (KMF), Th_49, Th_49,112
Green Park,Chennai,348793, The Tamil Nadu Co-operative Milk Producers' Union Limited (TCMPUL), Th_50, Th_50,140
Khar,Agra,264606, The Uttar Pradesh Co-operative Milk Producers' Union Limited (UPCMPUL), Th_51, Th_51,109
Malleswaram,Amravati,162519, The Andhra Pradesh Co-operative Milk Producers' Union Limited (APCMPUL), Th_52, Th_52,144
DLF Phase 13,Sirsa,495267, The Haryana Co-operative Milk Producers' Union Limited (HCMPUL), Th_53, Th_53,148
Defence Colony,Patiala,431843, The Punjab Co-operative Milk Producers' Union Limited (PCMPUL), Th_54, Th_54,148
Oshiwara,Bhopal,389031, The Madhya Pradesh Co-operative Milk Producers' Union Limited (MPCMPUL), Th_55, Th_55,101
Basavanagudi,Jaisalmer,432727, The Rajasthan Co-operative Milk Producers' Union Limited (RCMPUL), Th_56, Th_56,111
DLF Phase 14,Ahemdabad,138674, The Gujarat Co-operative Milk Producers' Union Limited (GCMPUL), Th_57, Th_57,105
Panchsheel Park,Mumbai,439758, The Maharashtra State Co-operative Milk Producers' Union Limited (MSCMPUL), Th_58, Th_58,120
Goregaon,Puri,417148, The Odisha Co-operative Milk Producers' Union Limited (OCMPUL), Th_59, Th_59,112
RR Nagar,Kolkata,367671, The West Bengal Co-operative Milk Producers' Union Limited (WBCMPUL), Th_60, Th_60,150
DLF Phase 15,dispur,183192, The Assam Co-operative Milk Producers' Union Limited (ACMPUL), Th_61, Th_61,124
Mayur Vihar,Ranchi,264145, The Jharkhand Co-operative Milk Producers' Union Limited (JCMPUL), Th_62, Th_62,122
Andheri West,Goa,172522, The Goa Co-operative Milk Producers' Union Limited (GCMPUL), Th_63, Th_63,117
Yelahanka,Shimla,450271, The Himachal Pradesh Co-operative Milk Producers' Union Limited (HPCMPUL), Th_64, Th_64,149
DLF Phase 16,Srinagar,271414, The Jammu and Kashmir Co-operative Milk Producers' Union Limited (JKCMPUL), Th_65, Th_65,125
Noida Sector 18,Imphal,171093, The Manipur Co-operative Milk Producers' Union Limited (MCMPUL), Th_66, Th_66,128
K.G. Road,Shillong,239908, The Meghalaya Co-operative Milk Producers' Union Limited (MECMPUL), Th_67, Th_67,122
Park Street,Aizwal,282394, The Mizoram Co-operative Milk Producers' Union Limited (MCMPUL), Th_68, Th_68,105
Hill Road,kohima,366208, The Nagaland Co-operative Milk Producers' Union Limited (NCMPUL), Th_69, Th_69,122
Link Road,Gangtok,429513, The Sikkim Co-operative Milk Producers' Union Limited (SCMPUL), Th_70, Th_70,117
Marine Drive,Itanagar,324667, The Arunachal Pradesh Co-operative Milk Producers' Union Limited (APCMPUL), Th_71, Th_71,130
Lamington Road,Raipur,410963, The Chhattisgarh Co-operative Milk Producers' Union Limited (CCMPUL), Th_72, Th_72,128
S.V. Road,Delhi,375809, The Delhi Milk Producers' Union Limited (DMPUL), Th_73, Th_73,114
Juhu Tara Road,Agartala,378334, The Tripura Milk Producers' Union Limited (TMPUL), Th_74, Th_74,119
Bandra-Kurla Complex,Roorkee,191087, The Uttarakhand Milk Producers' Union Limited (UMPUL), Th_75, Th_75,140
Linking Road,Thiruvanathapuram,470215, The Kerala Milk Producers' Union Limited (KMPUL), Th_76, Th_76,106
S.P. Road,Patna,155320, The Bihar Milk Producers' Union Limited (BMPUL), Th_77, Th_77,150
Brigade Road,Pune,396515, The Maharashtra Milk Producers' Union Limited (MMPUL), Th_78, Th_78,141
Residency Road,Mysuru,271005, The Karnataka Milk Producers' Union Limited (KMPUL), Th_79, Th_79,133
Commercial Street,Chennai,199430, The Tamil Nadu Milk Producers' Union Limited (TNPUL), Th_80, Th_80,103
M.G. Road,Kanpur,212506, The Uttar Pradesh Milk Producers' Union Limited (UPMPUL), Th_81, Th_81,103
Raj Bhavan Road,Amravati,129694, The Andhra Pradesh Milk Producers' Union Limited (, Th_82, Th_82,109
Banjara Hills Road,Chandigarh,102103, The Haryana Milk Producers' Union Limited (HMPUL), Th_83, Th_83,123
Tank Bund Road,Patiala,201446, The Punjab Milk Producers' Union Limited (PMPUL), Th_84, Th_84,129
Jubilee Hills Road,Bhopal,323977, The Madhya Pradesh Milk Producers' Union Limited (MPMPUL), Th_85, Th_85,118
R.P. Road,Jaipur,294725, The Rajasthan Milk Producers' Union Limited (RMPUL), Th_86, Th_86,112
Park Avenue,Vadodra,291653, The Gujarat Milk Producers' Union Limited (GMPUL), Th_87, Th_87,149
Road No. 36,Bhubaneshwar,421905, The Odisha Milk Producers' Union Limited (OMPUL), Th_88, Th_88,123
Anna Salai,Kolkata,279286, The West Bengal Milk Producers' Union Limited (WBPUL), Th_89, Th_89,140
Mount Road,Dispur,278341, The Assam Milk Producers' Union Limited (AMPPUL), Th_90, Th_90,122
Nungambakkam High Road,Dhanbad,180741, The Jharkhand Milk Producers' Union Limited (JMPUL), Th_91, Th_91,133
Thiruvanmiyur High Road,Goa,360434, The Goa Milk Producers' Union Limited (GOMPUL), Th_92, Th_92,101
Velachery Main Road,Shimla,378932, The Himachal Pradesh Milk Producers' Union Limited (HPMPUL), Th_93, Th_93,133
K.K. Nagar Main Road,Srinagar,442919, The Jammu and Kashmir Milk Producers' Union Limited (JKMPUL), Th_94, Th_94,124
Purasawalkam High Road,Imphal,214579, The Manipur Milk Producers' Union Limited (MPMPUL), Th_95, Th_95,137
Gandhi Nagar 1st Main Road,Tura,257767, The Meghalaya Milk Producers' Union Limited (MMPUL), Th_96, Th_96,134
Sardar Patel Road,Aizwal,200050, The Mizoram Milk Producers' Union Limited (MZMPUL), Th_97, Th_97,146
Kasturba Gandhi Marg,Dimapur,334715, The Nagaland Milk Producers' Union Limited (NMPUL), Th_98, Th_98,143
Baba Kharak Singh Marg,Gangtok,159022, The Sikkim Milk Producers' Union Limited (SMPUL), Th_99, Th_99,125
Rajendra Place,Itanagar,420182, The Arunachal Pradesh Milk Producers' Union Limited (APMPUL), Th_100, Th_100,116
Kirti Nagar,Raipur,186617, The Chhattisgarh Milk Producers' Union Limited (CPMPUL), Th_101, Th_101,111
Punjabi Bagh,Delhi,110005,The Delhi Co-operative Milk Producers' Union Limited (DCMPUL),The_102,The_102,87
